"pa","mpc1","mpc2","mpc3"
3901,243648.602912063,243648.602912063,243648.602912063
3911,244586.072847576,244586.072847576,244586.072847576
3921,245524.742054645,245524.742054645,245524.742054645
3931,246464.609002997,246464.609002997,246464.609002997
3941,247405.672168202,247405.672168202,247405.672168202
3951,248347.930031639,248347.930031639,248347.930031639
3961,249291.381080454,249291.381080454,249291.381080454
3971,250236.023807525,250236.023807525,250236.023807525
3981,251181.856711427,251181.856711427,251181.856711427
3991,252128.878296398,252128.878296398,252128.878296398
4001,253077.087072299,253077.087072299,253077.087072299
4011,254026.481554581,254026.481554581,254026.481554581
4021,254977.060264252,254977.060264252,254977.060264252
4031,255928.821727839,255928.821727839,255928.821727839
4041,256881.764477356,256881.764477356,256881.764477356
4051,257835.887050271,257835.887050271,257835.887050271
4061,258791.187989468,258791.187989468,258791.187989468
4071,259747.665843218,259747.665843218,259747.665843218
4081,260705.319165145,260705.319165145,260705.319165145
4091,261664.146514191,261664.146514191,261664.146514191
4101,262624.146454586,262624.146454586,262624.146454586
4111,263585.317555815,263585.317555815,263585.317555815
4121,264547.658392585,264547.658392585,264547.658392585
4131,265511.167544795,265511.167544795,265511.167544795
4141,266475.843597501,266475.843597501,266475.843597501
4151,267441.685140892,267441.685140892,267441.685140892
4161,268408.690770251,268408.690770251,268408.690770251
4171,269376.859085928,269376.859085928,269376.859085928
4181,270346.188693312,270346.188693312,270346.188693312
4191,271316.678202797,271316.678202797,271316.678202797
4201,272288.326229752,272288.326229752,272288.326229752
4211,273261.131394496,273261.131394496,273261.131394496
4221,274235.092322263,274235.092322263,274235.092322263
4231,275210.207643176,275210.207643176,275210.207643176
4241,276186.475992218,276186.475992218,276186.475992218
4251,277163.896009202,277163.896009202,277163.896009202
4261,278142.466338745,278142.466338745,278142.466338745
4271,279122.185630236,279122.185630236,279122.185630236
4281,280103.052537812,280103.052537812,280103.052537812
4291,281085.065720326,281085.065720326,281085.065720326
4301,282068.223841325,282068.223841325,282068.223841325
4311,283052.525569019,283052.525569019,283052.525569019
4321,284037.969576252,284037.969576252,284037.969576252
4331,285024.554540482,285024.554540482,285024.554540482
4341,286012.279143746,286012.279143746,286012.279143746
4351,287001.142072641,287001.142072641,287001.142072641
4361,287991.142018292,287991.142018292,287991.142018292
4371,288982.277676331,288982.277676331,288982.277676331
4381,289974.547746867,289974.547746867,289974.547746867
4391,290967.950934463,290967.950934463,290967.950934463
4401,291962.485948109,291962.485948109,291962.485948109
4411,292958.1515012,292958.1515012,292958.1515012
4421,293954.946311505,293954.946311505,293954.946311505
4431,294952.86910115,294952.86910115,294952.86910115
4441,295951.918596586,295951.918596586,295951.918596586
4451,296952.093528569,296952.093528569,296952.093528569
4461,297953.392632136,297953.392632136,297953.392632136
4471,298955.81464658,298955.81464658,298955.81464658
4481,299959.358315422,299959.358315422,299959.358315422
4491,300964.022386398,300964.022386398,300964.022386398
4501,301969.805611422,301969.805611422,301969.805611422
4511,302976.706746575,302976.706746575,302976.706746575
4521,303984.724552074,303984.724552074,303984.724552074
4531,304993.857792251,304993.857792251,304993.857792251
4541,306004.105235534,306004.105235534,306004.105235534
4551,307015.465654419,307015.465654419,307015.465654419
4561,308027.937825451,308027.937825451,308027.937825451
4571,309041.5205292,309041.5205292,309041.5205292
4581,310056.212550241,310056.212550241,310056.212550241
4591,311072.012677129,311072.012677129,311072.012677129
4601,312088.919702382,312088.919702382,312088.919702382
4611,313106.932422455,313106.932422455,313106.932422455
4621,314126.049637721,314126.049637721,314126.049637721
4631,315146.270152448,315146.270152448,315146.270152448
4641,316167.592774781,316167.592774781,316167.592774781
4651,317190.016316718,317190.016316718,317190.016316718
4661,318213.539594091,318213.539594091,318213.539594091
4671,319238.161426544,319238.161426544,319238.161426544
4681,320263.880637514,320263.880637514,320263.880637514
4691,321290.696054212,321290.696054212,321290.696054212
4701,322318.606507598,322318.606507598,322318.606507598
4711,323347.610832367,323347.610832367,323347.610832367
4721,324377.707866925,324377.707866925,324377.707866925
4731,325408.89645337,325408.89645337,325408.89645337
4741,326441.175437475,326441.175437475,326441.175437475
4751,327474.543668664,327474.543668664,327474.543668664
4761,328509,328509,328509
4771,329544.543288157,329544.543288157,329544.543288157
4781,330581.172393408,330581.172393408,330581.172393408
4791,331618.886179602,331618.886179602,331618.886179602
4801,332657.683514149,332657.683514149,332657.683514149
4811,333697.563267999,333697.563267999,333697.563267999
4821,334738.524315622,334738.524315622,334738.524315622
4831,335780.565534993,335780.565534993,335780.565534993
4841,336823.685807575,336823.685807575,336823.685807575
4851,337867.884018295,337867.884018295,337867.884018295
4861,338913.159055531,338913.159055531,338913.159055531
4871,339959.509811095,339959.509811095,339959.509811095
4881,341006.93518021,341006.93518021,341006.93518021
4891,342055.434061498,342055.434061498,342055.434061498
4901,343105.005356961,343105.005356961,343105.005356961
4911,344155.64797196,344155.64797196,344155.64797196
4921,345207.360815206,345207.360815206,345207.360815206
4931,346260.142798734,346260.142798734,346260.142798734
4941,347313.992837893,347313.992837893,347313.992837893
4951,348368.909851324,348368.909851324,348368.909851324
4961,349424.892760948,349424.892760948,349424.892760948
4971,350481.940491946,350481.940491946,350481.940491946
4981,351540.051972745,351540.051972745,351540.051972745
4991,352599.226134999,352599.226134999,352599.226134999
5001,353659.461913576,353659.461913576,353659.461913576
5011,354720.75824654,354720.75824654,354720.75824654
5021,355783.114075134,355783.114075134,355783.114075134
5031,356846.528343769,356846.528343769,356846.528343769
5041,357911,357911,357911
5051,358976.527994519,358976.527994519,358976.527994519
5061,360043.111281135,360043.111281135,360043.111281135
5071,361110.748816758,361110.748816758,361110.748816758
5081,362179.439561386,362179.439561386,362179.439561386
5091,363249.182478089,363249.182478089,363249.182478089
5101,364319.976532992,364319.976532992,364319.976532992
5111,365391.820695264,365391.820695264,365391.820695264
5121,366464.713937099,366464.713937099,366464.713937099
5131,367538.655233705,367538.655233705,367538.655233705
5141,368613.643563284,368613.643563284,368613.643563284
5151,369689.677907025,369689.677907025,369689.677907025
5161,370766.757249082,370766.757249082,370766.757249082
5171,371844.880576565,371844.880576565,371844.880576565
5181,372924.046879522,372924.046879522,372924.046879522
5191,374004.255150927,374004.255150927,374004.255150927
5201,375085.504386667,375085.504386667,375085.504386667
5211,376167.793585522,376167.793585522,376167.793585522
5221,377251.121749161,377251.121749161,377251.121749161
5231,378335.487882118,378335.487882118,378335.487882118
5241,379420.890991785,379420.890991785,379420.890991785
5251,380507.330088397,380507.330088397,380507.330088397
5261,381594.804185015,381594.804185015,381594.804185015
5271,382683.312297518,382683.312297518,382683.312297518
5281,383772.853444586,383772.853444586,383772.853444586
5291,384863.426647688,384863.426647688,384863.426647688
5301,385955.030931066,385955.030931066,385955.030931066
5311,387047.665321728,387047.665321728,387047.665321728
5321,388141.328849428,388141.328849428,388141.328849428
5331,389236.02054666,389236.02054666,389236.02054666
5341,390331.739448639,390331.739448639,390331.739448639
5351,391428.484593291,391428.484593291,391428.484593291
5361,392526.255021241,392526.255021241,392526.255021241
5371,393625.049775799,393625.049775799,393625.049775799
5381,394724.867902948,394724.867902948,394724.867902948
5391,395825.708451333,395825.708451333,395825.708451333
5401,396927.570472246,396927.570472246,396927.570472246
5411,398030.453019615,398030.453019615,398030.453019615
5421,399134.355149992,399134.355149992,399134.355149992
5431,400239.275922541,400239.275922541,400239.275922541
5441,401345.214399026,401345.214399026,401345.214399026
5451,402452.169643798,402452.169643798,402452.169643798
5461,403560.140723784,403560.140723784,403560.140723784
5471,404669.126708475,404669.126708475,404669.126708475
5481,405779.126669916,405779.126669916,405779.126669916
5491,406890.139682691,406890.139682691,406890.139682691
5501,408002.164823914,408002.164823914,408002.164823914
5511,409115.201173215,409115.201173215,409115.201173215
5521,410229.247812732,410229.247812732,410229.247812732
5531,411344.303827098,411344.303827098,411344.303827098
5541,412460.368303429,412460.368303429,412460.368303429
5551,413577.440331312,413577.440331312,413577.440331312
5561,414695.519002798,414695.519002798,414695.519002798
5571,415814.603412386,415814.603412386,415814.603412386
5581,416934.692657016,416934.692657016,416934.692657016
5591,418055.785836053,418055.785836053,418055.785836053
5601,419177.882051284,419177.882051284,419177.882051284
5611,420300.980406898,420300.980406898,420300.980406898
5621,421425.080009484,421425.080009484,421425.080009484
5631,422550.179968013,422550.179968013,422550.179968013
5641,423676.279393832,423676.279393832,423676.279393832
5651,424803.377400651,424803.377400651,424803.377400651
5661,425931.473104536,425931.473104536,425931.473104536
